1.25989843416938038657819085130343506e+00   1.25989843416938038657819085130343506e+00
1.25989843416938038657819085130343506e+00   7.45363977004583869253952242832319739e+00
7.45363977004583869253952242832319739e+00   1.25989843416938038657819085130343506e+00
1.25989843416938038657819085130343506e+00   4.00874635568513187737566069225576531e+01
4.00874635568513187737566069225576531e+01   1.25989843416938038657819085130343506e+00
4.32145162920097371157645949948964456e+00   4.32145162920097371157645949948964456e+00
1.18580632705274696076923985120593217e+01   1.23323858013485683077434872819721975e+01
1.23323858013485683077434872819721975e+01   1.18580632705274696076923985120593217e+01
1.25989843416938038657819085130343506e+00   1.00000000000000000000000000000000000e+02
1.00000000000000000000000000000000000e+02   1.25989843416938038657819085130343506e+00
1.25989843416938038657819085130343506e+00   2.96328111716638218357956837670712547e+00
2.96328111716638218357956837670712547e+00   1.25989843416938038657819085130343506e+00
5.32402840717559940386302581478790976e+00   8.21428571428571456893444505743791123e+01
8.21428571428571456893444505743791123e+01   5.32402840717559940386302581478790976e+00
3.82653061224489864700406044561455954e+01   4.00874635568513187737566069225576531e+01
4.00874635568513187737566069225576531e+01   3.82653061224489864700406044561455954e+01
2.46940093097198524436916600045243344e+00   1.72653401218879945355049889773576823e+01
1.72653401218879945355049889773576823e+01   2.46940093097198524436916600045243344e+00
1.25989843416938038657819085130343506e+00   1.72653401218879945355049889773576823e+01
1.72653401218879945355049889773576823e+01   1.25989843416938038657819085130343506e+00
1.00000000000000000000000000000000000e+02   1.00000000000000000000000000000000000e+02
5.08202711594034493435568928109712459e+00   3.51416076634735595810988394865668499e+01
3.51416076634735595810988394865668499e+01   5.08202711594034493435568928109712459e+00
1.32810308629907657078456648217979507e+01   1.00000000000000000000000000000000000e+02
1.00000000000000000000000000000000000e+02   1.32810308629907657078456648217979507e+01
2.04527875290057774796731982630082100e+01   2.04527875290057774796731982630082100e+01
2.11662936940455883683858658397749466e+00   5.08202711594034493435568928109712459e+00
5.08202711594034493435568928109712459e+00   2.11662936940455883683858658397749466e+00
2.59287097752058447917176659451610664e+00   1.00000000000000000000000000000000000e+02
1.00000000000000000000000000000000000e+02   2.59287097752058447917176659451610664e+00
